id,title,magnitude,date-time,date-label,latitude,longitude,depth,region,url-usgs
us7000lt4j,"M 4.6 - Izu Islands, Japan region",4.6,2024-01-23 04:30:58.404,23-01-2024 04:30,32.4784,141.896,10.0,Japan region,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt4j
us7000lt4d,"M 4.0 - 126 km W of Aykol, China",4.0,2024-01-23 04:25:48.497,23-01-2024 04:25,41.1741,78.6587,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt4d
us7000lu4e,"M 4.0 - 117 km WNW of Aykol, China",4.0,2024-01-23 04:21:22.850,23-01-2024 04:21,41.3667,78.8382,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4e
us7000lu4q,M 4.5 - South Sandwich Islands region,4.5,2024-01-23 04:18:31.639,23-01-2024 04:18,-59.0419,-25.0702,10.0,South Sandwich Islands region,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4q
us7000lt4a,"M 4.1 - 132 km SSE of Kyzyl-Suu, Kyrgyzstan",4.1,2024-01-23 04:13:32.412,23-01-2024 04:13,41.23,78.5883,10.0,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt4a
us7000lt45,"M 4.8 - 202 km SE of Fakfak, Indonesia",4.8,2024-01-23 04:07:20.413,23-01-2024 04:07,-4.0114,133.7644,10.0,Indonesia,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt45
us7000lt48,M 5.4 - southeast of Easter Island,5.4,2024-01-23 04:02:41.437,23-01-2024 04:02,-36.0606,-100.7768,10.0,southeast of Easter Island,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt48
us7000lt3t,"M 4.7 - 120 km WNW of Aykol, China",4.7,2024-01-23 04:01:22.322,23-01-2024 04:01,41.3613,78.8068,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt3t
us7000lu4c,"M 4.2 - 122 km WNW of Aykol, China",4.2,2024-01-23 03:52:34.790,23-01-2024 03:52,41.3095,78.7494,14.138,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4c
us7000lt3s,"M 4.4 - 123 km WNW of Aykol, China",4.4,2024-01-23 03:52:21.749,23-01-2024 03:52,41.3649,78.7635,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt3s
us7000lu4l,"M 4.1 - 117 km SSE of Kyzyl-Suu, Kyrgyzstan",4.1,2024-01-23 02:58:38.646,23-01-2024 02:58,41.4491,78.7587,10.0,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4l
us7000lt3a,"M 4.4 - 131 km SSE of Kyzyl-Suu, Kyrgyzstan",4.4,2024-01-23 02:11:24.002,23-01-2024 02:11,41.2364,78.5704,10.0,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt3a
us7000lt38,"M 4.0 - 131 km W of Aykol, China",4.0,2024-01-23 01:58:31.794,23-01-2024 01:58,41.1224,78.5826,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt38
us7000lu5k,M 4.1 - Norwegian Sea,4.1,2024-01-23 01:53:25.720,23-01-2024 01:53,72.4721,3.3854,10.0,Norwegian Sea,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu5k
us7000lu5j,"M 4.5 - 124 km WNW of Aykol, China",4.5,2024-01-23 01:52:56.467,23-01-2024 01:52,41.354,78.7466,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu5j
us7000lt35,"M 4.1 - 109 km WNW of Aykol, China",4.1,2024-01-23 01:52:13.413,23-01-2024 01:52,41.4363,78.9949,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt35
us7000lu4k,"M 4.0 - 128 km WNW of Aykol, China",4.0,2024-01-23 01:43:15.969,23-01-2024 01:43,41.2102,78.6429,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4k
us7000lu4a,"M 4.6 - 125 km WNW of Aykol, China",4.6,2024-01-23 01:40:23.542,23-01-2024 01:40,41.2376,78.6827,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4a
us7000lt2y,"M 5.3 - 119 km WNW of Aykol, China",5.3,2024-01-23 01:18:40.538,23-01-2024 01:18,41.2353,78.7576,3.426,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt2y
us7000lt2u,"M 4.1 - 261 km WNW of Houma, Tonga",4.1,2024-01-23 01:01:54.636,23-01-2024 01:01,-20.2536,-177.6107,499.827,Tonga,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt2u
us7000lu4h,"M 4.2 - 114 km WNW of Aykol, China",4.2,2024-01-23 00:22:28.281,23-01-2024 00:22,41.3688,78.891,8.833,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4h
us7000lt2j,"M 4.7 - 127 km W of Aykol, China",4.7,2024-01-23 00:12:40.167,23-01-2024 00:12,41.1899,78.6491,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt2j
us7000lu49,"M 4.0 - 140 km SSE of Kyzyl-Suu, Kyrgyzstan",4.0,2024-01-23 00:06:50.642,23-01-2024 00:06,41.1314,78.4813,10.0,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu49
us7000lt2g,"M 4.4 - 135 km W of Aykol, China",4.4,2024-01-22 23:56:19.612,22-01-2024 23:56,41.1752,78.5545,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt2g
us7000lt2f,"M 4.5 - 131 km W of Aykol, China",4.5,2024-01-22 23:55:34.640,22-01-2024 23:55,41.1675,78.5915,9.183,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt2f
us7000lu3r,"M 4.2 - 5 km SSE of Gojō, Japan",4.2,2024-01-22 23:45:41.592,22-01-2024 23:45,34.3042,135.7257,67.382,Japan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3r
us7000lu3h,"M 4.2 - 130 km WNW of Aykol, China",4.2,2024-01-22 23:44:28.615,22-01-2024 23:44,41.2605,78.6373,5.941,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3h
us7000lt29,"M 5.1 - 121 km WNW of Aykol, China",5.1,2024-01-22 23:19:25.792,22-01-2024 23:19,41.1968,78.7302,7.148,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt29
us7000lu3f,"M 4.2 - 180 km NE of Santa Cruz das Flores, Portugal",4.2,2024-01-22 23:11:28.135,22-01-2024 23:11,40.5952,-29.626,10.0,Portugal,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3f
